chr1,x00:0:248956422
chr10,x00:0:133797422
chr11,x00:0:135086622
chr12,x00:0:133275309
chr13,x00:0:114364328
chr14,x00:0:107043718
chr15,x00:0:101991189
chr16,x00:0:90338345
chr17,x00:0:83257441
chr18,x00:0:80373285
chr19,x00:0:58617616
chr2,x00:0:242193529
chr20,x00:0:64444167
chr21,x00:0:46709983
chr22,x00:0:50818468
chr3,x00:0:198295559
chr4,x00:0:190214555
chr5,x00:0:181538259
chr6,x00:0:170805979
chr7,x00:0:159345973
chr8,x00:0:145138636
chr9,x00:0:138394717
chrM,x00:0:16569
chrX,x00:0:156040895
chrY,x00:0:57227415
